HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
FECH	ferrochelatase	Heme Biosynthesis	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)Catalyzes the ferrous insertion into protoporphyrin IX	18	EPP, EPP1, FCE	HGNC:3647	FECH	ENSG00000066926	FECH	2235	FECH
FTMT	ferritin mitochondrial	Heme Biosynthesis	catalytic activity:4 Fe(2+) + 4 H(+) + O(2) = 4 Fe(3+) + 2 H(2)Ofunction:Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Has ferroxidase activity. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidationonline information:Ferritin entry,similarity:Belongs to the ferritin familysimilarity:Contains 1 ferritin-like diiron domainsubunit:Homo-oligomer of 24 subunits. The functional molecule is roughly spherical and contains a central cavity into which the polymeric mineral iron core is depositedtissue specificity:Detected in testis and erythroleukemia. Expression is very low or not detectable in brain, colon, heart, kidney, liver, lung, muscle, placental, spleen and small intestine	5	MTF	HGNC:17345	FTMT	ENSG00000181867	FTMT	94033	FTMT
HMBS	hydroxymethylbilane synthase	Heme Biosynthesis	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps	11	PBG-D, PBGD, PORC, UPS	HGNC:4982	HMBS	ENSG00000256269	HMBS	3145	HMBS
PPOX	protoporphyrinogen oxidase	Heme Biosynthesis	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	1	PPO, V290M, VP	HGNC:9280	PPOX	ENSG00000143224	PPOX	5498	PPOX
UROD	uroporphyrinogen decarboxylase	Heme Biosynthesis	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	1	PCT, UPD	HGNC:12591	UROD	ENSG00000126088	UROD	7389	UROD
UROS	uroporphyrinogen III synthase	Heme Biosynthesis	"The protein encoded by this gene catalyzes the fourth step of porphyrin biosynthesis in the heme biosynthetic pathway. Defects in this gene cause congenital erythropoietic porphyria (Gunther&apos;s disease). [provided by RefSeq, Jul 2008],"	10	UROIIIS	HGNC:12592	UROS	ENSG00000188690	UROS	7390	UROS
CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	Import & Sorting	Required for the import and folding of small cysteine- containing proteins (small Tim) in the mitochondrial intermembrane space (IMS). Probably acts by forming a redox cycle with GFER/ERV1 that involves a disulfide relay system. Precursor proteins to be imported into the IMS are translocated in their reduced form into the mitochondria. The oxidized form of MIA40 forms a transient intermolecular disulfide bridge with the reduced precursor protein, resulting in oxidation of the precursor protein that now contains an intramolecular disulfide bond and is able to undergo folding in the IMS (Probable)	3	MIA40, TIMM40	HGNC:26467	CHCHD4	ENSG00000163528	CHCHD4	131474	CHCHD4
CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	Import & Sorting	similarity:Contains 1 CHCH domain	2	C2orf9, CHTM1, MIC14, MIX14	HGNC:17840	CHCHD5	ENSG00000125611	CHCHD5	84269	CHCHD5
CMC2	C-X9-C motif containing 2	Import & Sorting	similarity:Belongs to the CMC1 family	16	2310061C15Rik, C16orf61, DC13	HGNC:24447	CMC2	ENSG00000103121	CMC2	56942	CMC2
CMC4	C-X9-C motif containing 4	Import & Sorting	"This gene was identified by involvement in some t(X;14) translocations associated with mature T-cell proliferations. This region has a complex gene structure, with a common promoter and 5&apos; exon spliced to two different sets of 3&apos; exons that encode two different proteins. This gene represents the downstream 8 kDa protein that localizes to mitochondria.[provided by RefSeq, Mar 2009],"	X	C6.1B, MTCP1, MTCP1B, MTCP1NB, p8, p8MTCP1	HGNC:35428	CMC4	ENSG00000182712	CMC4	100272147	CMC4
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	Import & Sorting	miscellaneous:Absent or down-regulated in many advanced cases of ovarian adenocarcinoma, due to hypermethylation and allelic loss. Loss expression correlates with increased resistance to antineoplastic drugs, such as cisplatinsimilarity:Contains 1 J domaintissue specificity:Ubiquitous	13	DNAJD1, HSD18, MCJ	HGNC:20325	DNAJC15	ENSG00000120675	DNAJC15	29103	DNAJC15
DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	Import & Sorting	Probable component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. May act as a co-chaperone that stimulate the ATP-dependent activity (By similarity)	3	PAM18, TIM14, TIMM14	HGNC:30528	DNAJC19	ENSG00000205981	DNAJC19	131118	DNAJC19
DNLZ	DNL-type zinc finger	Import & Sorting	similarity:Contains 1 DNL-type zinc finger	9	C9orf151, HEP, HEP1, TIMM15, ZIM17, bA413M3.2	HGNC:33879	DNLZ	ENSG00000213221	DNLZ	728489	DNLZ
GRPEL1	GrpE like 1, mitochondrial	Import & Sorting	function:Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. Seems to control the nucleotide-dependent binding of mitochondrial HSP70 to substrate proteinssimilarity:Belongs to the grpE familysubunit:Probable component of the PAM complex at least composed of a mitochondrial HSP70 protein, GRPEL1 or GRPEL2, TIMM44, TIMM16/MAGMAS and TIMM14/DNAJC19 (By similarity). Binds to HSP70, HSC70 and HSJ1B	4	GrpE, HMGE, mt-GrpE#1	HGNC:19696	GRPEL1	ENSG00000109519	GRPEL1	80273	GRPEL1
GRPEL2	GrpE like 2, mitochondrial	Import & Sorting	Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner (By similarity)	5	Mt-GrpE#2	HGNC:21060	GRPEL2	ENSG00000164284	GRPEL2	134266	GRPEL2
HSPA9	heat shock protein family A (Hsp70) member 9	Import & Sorting	This gene encodes a member of the heat shock protein 70 gene family. The encoded protein is primarily localized to the mitochondria but is also found in the endoplasmic reticulum, plasma membrane and cytoplasmic vesicles. This protein is a heat-shock cognate protein. This protein plays a role in cell proliferation, stress response and maintenance of the mitochondria. A pseudogene of this gene is found on chromosome 2.[provided by RefSeq, May 2010],	5	CRP40, CSA, EVPLS, GRP-75, GRP75, HEL-S-124mB, MOT, MOT2, MTHSP75, PBP74, SAAN, SIDBA4, HSPA9	HGNC:5244	HSPA9	ENSG00000113013	HSPA9	3313	HSPA9
HSPE1	heat shock protein family E (Hsp10) member 1	Import & Sorting	Eukaryotic CPN10 homolog which is essential for mitochondrial protein biogenesis, together with CPN60. Binds to CPN60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	2	CPN10, EPF, GROES, HSP10	HGNC:5269	HSPE1	ENSG00000115541	HSPE1	3336	HSPE1
IMMP1L	inner mitochondrial membrane peptidase subunit 1	Import & Sorting	Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO	11	IMMP1, IMP1, IMP1-LIKE	HGNC:26317	IMMP1L	ENSG00000148950	IMMP1L	196294	IMMP1L
IMMP2L	inner mitochondrial membrane peptidase subunit 2	Import & Sorting	Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO	7	IMMP2L-IT1, IMP2, IMP2-LIKE	HGNC:14598	IMMP2L	ENSG00000184903	IMMP2L	83943	IMMP2L
METAP1D	methionyl aminopeptidase type 1D, mitochondrial	Import & Sorting	"The N-terminal methionine excision pathway is an essential process in which the N-terminal methionine is removed from many proteins, thus facilitating subsequent protein modification. In mitochondria, enzymes that catalyze this reaction are celled methionine aminopeptidases (MetAps, or MAPs; EC 3.4.11.18) (Serero et al 2003 [PubMed 14532271]).[supplied by OMIM, Mar 2008],"	2	MAP 1D, MAP1D, MetAP 1D, Metap1l	HGNC:32583	METAP1D	ENSG00000172878	METAP1D	254042	METAP1D
MIPEP	mitochondrial intermediate peptidase	Import & Sorting	Cleaves proteins, imported into the mitochondrion, to their mature size	13	COXPD31, HMIP, MIP	HGNC:7104	MIPEP	ENSG00000027001	MIPEP	4285	MIPEP
MTX1	metaxin 1	Import & Sorting	Involved in transport of proteins into the mitochondrion. Essential for embryonic development (By similarity)	1	MTX, MTXN	HGNC:7504	MTX1	ENSG00000173171	MTX1	4580	MTX1
MTX2	metaxin 2	Import & Sorting	Involved in transport of proteins into the mitochondrion	2		HGNC:7506	MTX2	ENSG00000128654	MTX2	10651	MTX2
MTX3	metaxin 3	Import & Sorting	Could function in transport of proteins into the mitochondrion (By similarity)	5		HGNC:24812	MTX3	ENSG00000177034	MTX3	345778	MTX3
PAM16	presequence translocase associated motor 16	Import & Sorting	Probable component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. May be required to regulate the ATP- dependent activity (By similarity)	16	CGI-136, MAGMAS, SMDMDM, TIM16, TIMM16	HGNC:29679	PAM16	ENSG00000217930	PAM16	51025	PAM16
PMPCA	peptidase, mitochondrial processing alpha subunit	Import & Sorting	The protein encoded by this gene is found in the mitochondrion, where it represents the alpha subunit of a proteolytic heterodimer. This heterodimer is responsible for cleaving the transit peptide from nuclear-encoded mitochondrial proteins. Defects in this gene are a cause of spinocerebellar ataxia, autosomal recessive 2. [provided by RefSeq, Mar 2016],	9	Alpha-MPP, CLA1, CPD3, INPP5E, P-55, SCAR2	HGNC:18667	PMPCA	ENSG00000165688	PMPCA	23203	PMPCA
PMPCB	peptidase, mitochondrial processing beta subunit	Import & Sorting	This gene is a member of the peptidase M16 family and encodes a protein with a zinc-binding motif. This protein is located in the mitochondrial matrix and catalyzes the cleavage of the leader peptides of precursor proteins newly imported into the mitochondria, though it only functions as part of a heterodimeric complex. [provided by RefSeq, Jul 2008],	7	Beta-MPP, MPP11, MPPB, MPPP52, P-52	HGNC:9119	PMPCB	ENSG00000105819	PMPCB	9512	PMPCB
PPIF	peptidylprolyl isomerase F	Import & Sorting	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	10	CYP3, CyP-M, Cyp-D, CypD	HGNC:9259	PPIF	ENSG00000108179	PPIF	10105	PPIF
SAMM50	SAMM50 sorting and assembly machinery component	Import & Sorting	May be required for the assembly pathway of mitochondrial outer membrane proteins (By similarity)	22	CGI-51, OMP85, SAM50, TOB55, TRG-3, YNL026W	HGNC:24276	SAMM50	ENSG00000100347	SAMM50	25813	SAMM50
TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog	Import & Sorting	May be involved in the translocation of transit peptide- containing proteins across the mitochondrial inner membrane (By similarity)	3	C3orf31, RAM41, TAM41	HGNC:25187	TAMM41	ENSG00000144559	TAMM41	132001	TAMM41
TIMM10	translocase of inner mitochondrial membrane 10	Import & Sorting	Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space	11	TIM10, TIM10AA, TIMM10	HGNC:11814	TIMM10	ENSG00000134809	TIMM10	26519	TIMM10
TIMM10B	translocase of inner mitochondrial membrane 10B	Import & Sorting	Component of the TIM22 complex, a complex that mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. The TIM22 complex forms a twin- pore translocase that uses the membrane potential as external driving force. In the TIM22 complex, it may act as a docking point for the soluble 70 kDa complex that guides the target proteins in transit through the aqueous mitochondrial intermembrane space	11	FXC1, TIM10B, Tim9b	HGNC:4022	TIMM10B	ENSG00000132286	TIMM10B	26515	TIMM10B
TIMM13	translocase of inner mitochondrial membrane 13	Import & Sorting	Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8-TIMM13 complex mediates the import of proteins such as TIMM23, SLC25A12/ARALAR1 and SLC25A13/ARALAR2, while the predominant TIMM9-TIMM10 70 kDa complex mediates the import of much more proteins	19	TIM13, TIM13BA, TIMM13B, ppv1, TIMM13	HGNC:11816	TIMM13	ENSG00000099800	TIMM13	26517	TIMM13
TIMM17A	translocase of inner mitochondrial membrane 17A	Import & Sorting	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	1	TIM17, TIM17A	HGNC:17315	TIMM17A	ENSG00000134375	TIMM17A	10440	TIMM17A
TIMM17B	translocase of inner mitochondrial membrane 17B	Import & Sorting	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	X	DXS9822, JM3, TIM17B	HGNC:17310	TIMM17B	ENSG00000126768	TIMM17B	10245	TIMM17B
TIMM21	translocase of inner mitochondrial membrane 21	Import & Sorting	May participate in the translocation of transit peptide- containing proteins across the mitochondrial inner membrane (By similarity)	18	C18orf55, HSPC154, TIM21	HGNC:25010	TIMM21	ENSG00000075336	TIMM21	29090	TIMM21
TIMM22	translocase of inner mitochondrial membrane 22	Import & Sorting	Essential core component of the TIM22 complex, a complex that mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. In the TIM22 complex, it constitutes the voltage-activated and signal-gated channel. Forms a twin-pore translocase that uses the membrane potential as external driving force in 2 voltage-dependent steps (By similarity)	17	TEX4, TIM22	HGNC:17317	TIMM22	ENSG00000177370	TIMM22	29928	TIMM22
TIMM23	translocase of inner mitochondrial membrane 23	Import & Sorting	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	10	TIM23	HGNC:17312	TIMM23	ENSG00000265354	TIMM23	100287932	TIMM23
